status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,react_comment_r,react_share_r,postive_reactions,negative_reactions
246675545449582_1649696485147474,video,4/22/2018 6:00,529,512,262,432,92,3,1,1,0,1.033203125,2.019083969465649,527,2
246675545449582_1649426988507757,photo,4/21/2018 22:45,150,0,0,150,0,0,0,0,0,0.0,0.0,150,0
246675545449582_1648730588577397,video,4/21/2018 6:17,227,236,57,204,21,1,1,0,0,0.961864406779661,3.982456140350877,226,1
246675545449582_1648576705259452,photo,4/21/2018 2:29,111,0,0,111,0,0,0,0,0,0.0,0.0,111,0
246675545449582_1645700502213739,photo,4/18/2018 3:22,213,0,0,204,9,0,0,0,0,0.0,0.0,213,0
246675545449582_1645650162218773,photo,4/18/2018 2:14,217,6,0,211,5,1,0,0,0,36.166666666666664,0.0,217,0
246675545449582_1645564175560705,video,4/18/2018 0:24,503,614,72,418,70,10,2,0,3,0.8192182410423453,6.986111111111111,498,5
246675545449582_1644824665634656,video,4/17/2018 7:42,295,453,53,260,32,1,1,0,1,0.6512141280353201,5.566037735849057,293,2
246675545449582_1644655795651543,photo,4/17/2018 3:33,203,1,0,198,5,0,0,0,0,203.0,0.0,203,0
246675545449582_1638788379571618,photo,4/11/2018 4:53,170,9,1,167,3,0,0,0,0,18.88888888888889,170.0,170,0
246675545449582_1637655039684952,photo,4/10/2018 1:01,210,2,3,202,7,1,0,0,0,105.0,70.0,210,0
246675545449582_1636730006444122,photo,4/9/2018 2:06,222,4,0,213,5,4,0,0,0,55.5,0.0,222,0
246675545449582_1635846033199186,photo,4/8/2018 5:10,313,4,2,305,6,2,0,0,0,78.25,156.5,313,0
246675545449582_1635730986544024,photo,4/8/2018 2:23,209,4,0,200,8,1,0,0,0,52.25,0.0,209,0
246675545449582_1632874756829647,photo,4/5/2018 9:23,346,11,0,335,10,1,0,0,0,31.454545454545453,0.0,346,0
246675545449582_1628507150599741,video,4/1/2018 5:16,332,100,30,303,23,1,5,0,0,3.32,11.066666666666666,327,5
246675545449582_1626584134125376,video,3/30/2018 8:28,135,256,79,117,18,0,0,0,0,0.52734375,1.7088607594936709,135,0
246675545449582_1622470701203386,video,3/26/2018 8:28,150,173,47,132,16,1,0,1,0,0.8670520231213873,3.1914893617021276,149,1
246675545449582_1619188648198258,video,3/23/2018 7:09,221,166,36,192,28,0,1,0,0,1.3313253012048192,6.138888888888889,220,1
246675545449582_1617858078331315,photo,3/22/2018 1:25,152,2,0,149,3,0,0,0,0,76.0,0.0,152,0
246675545449582_1617109651739491,photo,3/21/2018 8:40,234,15,1,221,12,1,0,0,0,15.6,234.0,234,0
246675545449582_1617051285078661,photo,3/21/2018 7:46,227,7,1,217,7,2,1,0,0,32.42857142857143,227.0,226,1
246675545449582_1615645795219210,photo,3/20/2018 1:54,98,0,0,96,0,2,0,0,0,0.0,0.0,98,0
246675545449582_1615629888554134,video,3/20/2018 1:28,18,0,0,18,0,0,0,0,0,0.0,0.0,18,0
246675545449582_1615585301891926,photo,3/20/2018 0:15,102,0,0,100,0,2,0,0,0,0.0,0.0,102,0
246675545449582_1615510251899431,video,3/19/2018 22:34,37,0,1,37,0,0,0,0,0,0.0,37.0,37,0
